FISHID,MASS,TRIAL,SMR_contr,CHANGE
44,37.93,LowSalinity,5.42387072803229,10.237196135776
45,26.34,LowSalinity,6.14740206648685,24.1310663332075
46,43.13,LowSalinity,4.76149756259054,14.4890609573439
47,40.36,LowSalinity,5.88789536339712,-2.44851334490241
48,46.97,LowSalinity,4.4023279736115,38.4442105031292
49,33.42,LowSalinity,4.94209292166775,30.8508473335201
50,52.37,LowSalinity,5.22813630880949,83.5999169780011
51,34.18,LowSalinity,4.74873622976632,57.727188321853
52,38.3,LowSalinity,5.25399821258201,49.5903835129221
53,35.37,LowSalinity,4.73719945643686,48.0444058529599
54,47.39,LowSalinity,5.98442863339216,99.2638833048327
55,30.84,LowSalinity,5.12544809378547,74.9897620781752
56,50.61,LowSalinity,4.37691705054794,-14.5065242458262
57,47.24,LowSalinity,5.41490673829449,14.2471642025619
58,40.98,LowSalinity,4.76033900781102,42.9353910024065
59,44.66,LowSalinity,4.61981750643078,25.0464220391264
60,37.52,LowSalinity,4.92467606490207,40.4964106623695
1,36.8,HighTemperature,5.84746559650606,18.3217293864346
2,34.98,HighTemperature,6.53070733563781,19.0630547180794
3,38.38,HighTemperature,5.65955594827216,19.0331287240433
4,30.09,HighTemperature,6.27820007393776,76.6535000673558
5,37.61,HighTemperature,4.40733576104195,45.0606076895734
6,37.82,HighTemperature,4.81858889564912,12.9821806685778
7,30.08,HighTemperature,5.77778622625987,7.04278977857901
8,51.22,HighTemperature,3.98431933224657,61.1197845379385
9,25.36,HighTemperature,5.08010796905836,38.2483687658826
10,33.62,HighTemperature,4.23337880632931,64.6248893865829
11,27.96,HighTemperature,4.27611693218051,78.7168894232532
12,25.93,HighTemperature,4.53316426571112,75.5714636369714
13,36.89,HighTemperature,4.93949244748931,74.3963028497065
14,31.17,HighTemperature,4.32515791986855,88.4447541365837
15,32.37,HighTemperature,5.70339428875125,63.7956674778007
16,36.2,HighTemperature,5.28225921561364,51.9592486329607
17,40.92,HighTemperature,5.00571804358482,58.1705700034869
18,43.58,HighTemperature,4.16923870672134,116.325396127259
19,38.27,HighTemperature,4.38898153370026,72.1199509823741
20,53.58,HighTemperature,5.82225660001617,51.8049787557716
21,39.16,HighTemperature,4.8604022222978,44.7072302701175
22,35.89,HighTemperature,6.70053678032019,22.3065720105535
23,42.27,HighTemperature,4.27829745385063,73.6404480646051
24,37.44,HighTemperature,5.01272515419866,74.4538300824339
25,42.75,HighTemperature,5.35308417918801,16.041864243814
26,35.35,HighTemperature,5.28793012296864,39.2692645374052
27,39.24,HighTemperature,5.25144123056529,32.0935453012294
28,52.86,HighTemperature,5.00768162785842,69.2187060425137
29,49.12,HighTemperature,5.53031341596636,40.7010510473427
30,36.72,HighTemperature,5.98424122397347,39.3950180021378
31,35.39,HighTemperature,5.28195354024127,36.2029465531236
32,41.18,HighTemperature,6.15555945315133,16.5196010000996
33,33.72,HighTemperature,5.03084720856665,69.7920177707418
34,27.8,HighTemperature,6.08125935687661,52.4742354715068
35,50.81,HighTemperature,4.85878268654615,36.7696422302259
36,22.52,HighTemperature,5.73929453802116,12.6319695553979
37,41.71,HighTemperature,5.72362571390711,16.5513880487226
38,39.98,HighTemperature,5.11189580231778,43.8154710189067
39,35.29,HighTemperature,4.64673721993264,42.9492495577818
40,33.02,HighTemperature,5.09421842926496,27.370669248836
41,32.71,HighTemperature,5.46295084131617,45.9159914552772
42,39.76,HighTemperature,5.58615075417597,30.214770396414
43,45.11,HighTemperature,4.88860337723669,56.5020296004075
44,38.5,HighTemperature,5.42387072803229,49.2150076627404
45,27.44,HighTemperature,6.14740206648685,32.6664515919156
46,42.77,HighTemperature,4.76149756259054,62.7079719399163
47,40.81,HighTemperature,5.88789536339712,32.2212811416608
48,43.6,HighTemperature,4.4023279736115,83.4976855870239
49,33.22,HighTemperature,4.94209292166775,60.7083100360312
50,51.9,HighTemperature,5.22813630880949,55.8708027293279
51,33.83,HighTemperature,4.74873622976632,78.825616492191
52,39.31,HighTemperature,5.25399821258201,64.9956999873321
53,34.14,HighTemperature,4.73719945643686,57.413449622729
54,48.29,HighTemperature,5.98442863339216,61.6168589223255
55,31.43,HighTemperature,5.12544809378547,53.6231493171343
56,49.22,HighTemperature,4.37691705054794,65.3286883745959
57,48.28,HighTemperature,5.41490673829449,53.7804317345165
58,40.27,HighTemperature,4.76033900781102,52.3538638686185
59,45.5,HighTemperature,4.61981750643078,86.962014233826
60,35.17,HighTemperature,4.92467606490207,38.1662527999845
1,45.06,Hypoxia,5.84746559650606,-18.6066082377034
2,43.51,Hypoxia,6.53070733563781,-5.36520008560174
3,45.11,Hypoxia,5.65955594827216,-13.9456458325657
4,37.7,Hypoxia,6.27820007393776,-5.81940191158463
5,40.09,Hypoxia,4.40733576104195,-16.705832153009
6,45.01,Hypoxia,4.81858889564912,-3.64923846218174
7,35.72,Hypoxia,5.77778622625987,-27.3930805249708
8,55.22,Hypoxia,3.98431933224657,-0.0102871213309363
9,29.88,Hypoxia,5.08010796905836,5.83998367694159
10,37.18,Hypoxia,4.23337880632931,28.3364285377435
11,29.35,Hypoxia,4.27611693218051,-5.70966613913754
12,29.12,Hypoxia,4.53316426571112,-9.36328376415069
13,41.28,Hypoxia,4.93949244748931,17.9439994162514
14,34.09,Hypoxia,4.32515791986855,33.9620487734514
15,37.64,Hypoxia,5.70339428875125,19.7825386742596
16,42.69,Hypoxia,5.28225921561364,24.9255157418154
17,45.77,Hypoxia,5.00571804358482,-2.7699819648075
18,45.6,Hypoxia,4.16923870672134,35.8398185479547
19,43.34,Hypoxia,4.38898153370026,2.28284723580185
20,64.07,Hypoxia,5.82225660001617,1.73415858643199
21,43.19,Hypoxia,4.8604022222978,-3.91464809005888
22,44.9,Hypoxia,6.70053678032019,-3.02764618132228
23,47.39,Hypoxia,4.27829745385063,29.0835736101522
24,43.37,Hypoxia,5.01272515419866,17.1533479958663
25,49.69,Hypoxia,5.35308417918801,-3.00186327073405
26,45.14,Hypoxia,5.28793012296864,16.0114812366766
27,44.01,Hypoxia,5.25144123056529,-14.7927906962957
28,60.5,Hypoxia,5.00768162785842,-3.67876339776136
29,55.28,Hypoxia,5.53031341596636,7.34337316391135
30,39.99,Hypoxia,5.98424122397347,-27.1488021048019
31,38.96,Hypoxia,5.28195354024127,4.12461095392166
